#gene name,lfc,pval,condition
gene_530,-1.03334259198456e-06,0.211525759416019,sample_4
gene_683,4.51848945776053e-06,1,sample_4
gene_928,1.84126452555477e-06,0.986623620453221,sample_4
gene_793,-1.07764962554759e-07,1,sample_4
gene_258,-1.60637590439237e-07,1,sample_4
gene_941,-8.05706134156297e-06,1,sample_4
gene_92,1.60134606231135,0.123556074789959,sample_4
gene_809,4.72922103260113e-06,1,sample_4
gene_106,1.25186463404273e-05,1,sample_4
gene_376,-2.03890341464628e-05,1,sample_4
gene_189,-1.73050059427693e-06,1,sample_4
gene_386,-2.47208297455146e-06,0.141203613420723,sample_4
gene_873,-1.73226609557816e-06,0.144782121558507,sample_4
gene_52,-1.05693437090995e-07,1,sample_4
gene_485,-6.64802574645271e-07,0.551260727916585,sample_4
gene_69,6.44254032790299e-06,1,sample_4
gene_910,1.23242953390799,0.233797758887432,sample_4
gene_994,1.50875187331406e-07,1,sample_4
gene_228,-4.55502246133028e-06,0.0100188262536366,sample_4
gene_225,-3.20355710556063e-07,0.0880059860121397,sample_4
gene_130,-8.39786134679548e-07,0.616439156683049,sample_4
gene_879,-2.61576918581069e-06,1,sample_4
gene_657,-4.76194115242233e-07,1,sample_4
gene_765,-9.64289128646493e-07,1,sample_4
gene_800,-1.00713837626841e-06,0.0328091413620805,sample_4
gene_788,-8.58593207325958e-07,0.899318558934422,sample_4
gene_706,-2.49365084795109e-06,0.000675342565309523,sample_4
gene_975,8.13074944816502e-07,1,sample_4
gene_359,-2.16147880984038e-07,1,sample_4
gene_583,-1.01084115607459e-06,1,sample_4
gene_230,-7.54250310044407e-07,1,sample_4
gene_839,2.39295745991698e-06,1,sample_4
gene_523,-1.79618611618033e-06,1,sample_4
gene_676,2.65106895089016e-06,0.326239101044563,sample_4
gene_506,-1.06361467968776e-07,0.886384667236622,sample_4
gene_508,-2.88696797214351e-06,0.852287994669597,sample_4
gene_214,-4.62688359334321e-06,2.91083352763251e-09,sample_4
gene_178,8.21648351951781e-07,1,sample_4
gene_327,2.07909577571638e-06,1,sample_4
gene_940,-3.85496916687147e-05,1,sample_4
gene_27,-3.16191390492595e-06,1,sample_4
gene_526,-8.37594353188563e-07,0.174010599526054,sample_4
gene_291,-8.02238743274877e-06,1,sample_4
gene_513,-9.60533611449284e-06,1,sample_4
gene_192,4.39240180231213e-06,1,sample_4
gene_438,-2.27577143313771e-06,1,sample_4
gene_350,-1.7087183625151e-06,1,sample_4
gene_378,5.00435932777489e-06,1,sample_4
gene_138,-4.64294114317504e-06,0.250949568143259,sample_4
gene_750,3.50871582582474,0.000154767761237015,sample_4
gene_708,3.40815421230515,0.0106016594571579,sample_4
gene_12,8.72468229562986e-06,0.812895420563717,sample_4
gene_47,-5.46327204125919e-06,1,sample_4
gene_880,-1.47424770763357e-07,1,sample_4
gene_781,-1.11657488121779e-05,1,sample_4
gene_451,1.304890200729e-05,0.388299281140663,sample_4
gene_456,3.01306013208148e-06,1,sample_4
gene_764,1.18217279752624e-05,0.0913809805012028,sample_4
gene_113,1.16589261395829e-05,0.21863804306734,sample_4
gene_133,2.47471274132498,0.0264188505702376,sample_4
gene_126,-0.000119332803033903,2.10423592667887e-06,sample_4
gene_421,1.57589365737959,0.0378068904632371,sample_4
gene_62,4.16652478425526e-06,1,sample_4
gene_810,-5.85020312585815e-08,1,sample_4
gene_175,-2.89763643951829e-06,0.831756515866272,sample_4
gene_443,-1.87786827250632e-06,1,sample_4
gene_701,3.8002380362638e-06,1,sample_4
gene_825,-4.72892870259362e-07,1,sample_4
gene_103,-9.82309324467088e-06,1,sample_4
gene_838,8.37207174353336e-06,1,sample_4
gene_777,3.16624810703223,0.03364305919331,sample_4
gene_38,1.00838830744788e-05,0.0927675203414172,sample_4
gene_894,-5.45983393659132e-08,1,sample_4
gene_821,-4.15636301797904e-07,1,sample_4
gene_324,8.3294933596571e-07,1,sample_4
gene_875,8.40697609373131e-06,1,sample_4
gene_238,4.54145180402453e-06,0.562666113603483,sample_4
gene_723,3.11261173699161e-07,1,sample_4
gene_455,2.0671743770817e-05,1,sample_4
gene_670,-4.82461330307573e-06,1,sample_4
gene_163,2.19301202831522,0.0401766510645396,sample_4
gene_339,9.4424557466163e-07,1,sample_4
gene_11,2.6647716978409e-06,1,sample_4
gene_522,-1.00176521692518e-06,0.679038521263311,sample_4
gene_255,-9.86732612586591e-07,1,sample_4
gene_129,1.35019828171056e-05,0.276947987635897,sample_4
gene_286,1.08568369596775e-05,1,sample_4
gene_85,9.58585410619043e-06,1,sample_4
gene_76,-1.94326984137972e-06,1,sample_4
gene_712,7.09368573582335e-06,1,sample_4
gene_891,2.8500625237096e-06,1,sample_4
gene_136,2.8308890923805e-09,1,sample_4
gene_384,2.10606851962689e-05,1,sample_4
gene_440,-5.56343737894901e-06,0.886755619020883,sample_4
gene_851,-1.41586421715102e-06,0.998330585431183,sample_4
gene_799,1.34411347719633e-05,0.628812096795253,sample_4
gene_461,1.27025565009997,0.160511436529661,sample_4
gene_221,3.81358674620618e-06,1,sample_4
gene_141,2.87988715083406e-07,1,sample_4
gene_302,7.63232014642463e-06,1,sample_4
gene_964,7.62353120720822e-07,1,sample_4
gene_235,-1.10504569771036e-06,0.00339272245606236,sample_4
gene_469,-1.16794709586668e-06,1,sample_4
gene_369,1.13426722345385,0.340405785253131,sample_4
gene_784,5.56982098974417e-06,0.787435225763699,sample_4
gene_546,-1.08747442396053e-06,0.13388634965438,sample_4
gene_77,-1.04311882903515e-06,0.362660196436217,sample_4
gene_797,2.8389322333234,0.0125344562427968,sample_4
gene_211,3.12793047048108,0.000176420609494511,sample_4
gene_849,-9.98339662014168e-07,1,sample_4
gene_215,2.86032820434148,0.00064316295544584,sample_4
gene_992,3.31116401021633,2.48825060297054e-05,sample_4
gene_883,-7.2507822261192e-06,0.000167588647670143,sample_4
gene_995,-6.63002863919467e-06,0.811667818337449,sample_4
gene_641,1.82328405057501e-06,1,sample_4
gene_622,-4.67866101728904e-07,1,sample_4
gene_95,-8.62379564871706e-06,0.956553791090303,sample_4
gene_287,-3.10524869235447e-07,1,sample_4
gene_256,3.2480605451782e-06,1,sample_4
gene_333,1.44893943855579e-05,0.510265135803582,sample_4
gene_651,5.83819586093333e-06,1,sample_4
gene_349,1.33390859455094e-05,1,sample_4
gene_1,1.40422999912088e-05,1,sample_4
gene_473,1.26095134078266e-05,0.863334668654436,sample_4
gene_680,-2.69455816856172e-06,1,sample_4
gene_532,-4.25319265706048e-07,1,sample_4
gene_285,2.01997134827562e-06,1,sample_4
gene_365,1.70036596666557e-06,0.710078897342354,sample_4
gene_608,2.76945214710887e-07,1,sample_4
gene_615,-1.34219293479749e-06,1,sample_4
gene_53,-2.76738054633925e-08,1,sample_4
gene_588,4.37123143214627e-06,0.326009273051119,sample_4
gene_201,7.44954974198156e-06,0.14485397433959,sample_4
gene_672,6.92762798134389e-06,0.147173071874497,sample_4
gene_265,-4.43629167128855e-06,1,sample_4
gene_119,2.05442005568204,0.0691016675912031,sample_4
gene_908,5.56759958439534e-07,1,sample_4
gene_441,2.75701830599173,0.010620118306173,sample_4
gene_275,2.43403904768306,1.17624771175265e-05,sample_4
gene_718,8.12363199993101e-06,1,sample_4
gene_943,6.21022843319911e-06,1,sample_4
gene_34,2.04731819215009,0.00830135305594665,sample_4
gene_7,7.98051394461694e-07,1,sample_4
gene_125,4.08052268761418e-05,1,sample_4
gene_250,4.62436610347491e-06,1,sample_4
gene_842,-0.000133874369890032,1,sample_4
gene_511,9.86508384505721e-06,1,sample_4
