#gene name,lfc,pval,condition
gene_750,3.50871582582474,0.000154767761237015,sample_4
gene_211,3.12793047048108,0.000176420609494511,sample_4
gene_215,2.86032820434148,0.00064316295544584,sample_4
gene_992,3.31116401021633,2.48825060297054e-05,sample_4
gene_275,2.43403904768306,1.17624771175265e-05,sample_4
gene_34,2.04731819215009,0.00830135305594665,sample_4
gene_137,4.00782486751017,0.000152755983288978,sample_4
gene_266,3.66344999440063,0.000156742717603343,sample_4
gene_30,3.16548055792378,0.00261669043856048,sample_4
gene_531,4.88339628113451,6.42002077456951e-05,sample_4
gene_543,3.53194064436826,0.00755717006004334,sample_4
gene_10,3.01642010974085,0.0017046173038823,sample_4
gene_453,2.46774344552434,0.00019048755986997,sample_4
gene_502,2.38151335761306,0.00011526823416626,sample_4
gene_390,3.54331398101182,0.00279665952992835,sample_4
gene_931,3.85960956312124,0.000733925496676211,sample_4
gene_648,2.81954223941958,0.00223589107384672,sample_4
gene_541,5.77891716213231,3.97752397059352e-05,sample_4
gene_772,4.50024810365682,0.000323173012686002,sample_4
gene_845,5.03785308054787,8.22162743541292e-05,sample_4
gene_379,4.81641342587685,3.53242522538697e-08,sample_4
gene_458,2.41066490342276,0.00721211628256514,sample_4
gene_93,2.1106023743141,0.00612672140292206,sample_4
gene_979,3.1688590320655,3.72008263595505e-10,sample_4
gene_329,4.96203817361204,0.000577008469468753,sample_4
gene_693,3.86065834780534,0.00289915320606799,sample_4
gene_281,7.07560151762025,0.00313777951497648,sample_4
gene_310,4.14077285632969,0.00274014150995102,sample_4
gene_433,2.65276592486935,9.19518330069091e-06,sample_4
gene_874,3.96917701063498,0.000375624089301823,sample_4
gene_727,3.72707045844477,4.06228630337469e-10,sample_4
gene_120,2.88764613501281,0.0099745191021443,sample_4
gene_947,4.21302327476017,0.00311349434674769,sample_4
gene_142,2.74702314070185,0.00110590608007522,sample_4
gene_314,3.58858448969982,0.00937430454799194,sample_4
gene_848,4.02874670144234,0.000409148086503166,sample_4
gene_478,5.80556384984238,0.006196281004441,sample_8
gene_359,2.53071492664706,0.00307689429355973,sample_9
gene_750,3.14136506676054,0.00091402248095983,sample_9
gene_708,3.9440561354674,0.00329406564526145,sample_9
gene_47,2.36529703998041,2.44122216423019e-05,sample_9
gene_451,2.76838572810393,5.29487882644569e-06,sample_9
gene_764,2.47208904891093,0.00435963829292138,sample_9
gene_113,2.21608296115966,0.00475478798700267,sample_9
gene_891,2.05450708024358,0.00421903937577669,sample_9
gene_211,3.09894842184307,0.0002022715898468,sample_9
gene_215,5.2169955164823,1.35811290177436e-12,sample_9
gene_333,2.40229201418606,3.59888445379444e-05,sample_9
gene_672,3.76890185410748,0.00670036933958538,sample_9
gene_441,3.5476902718604,0.00078039403381559,sample_9
gene_391,6.5104228721275,7.39454233475985e-09,sample_9
gene_137,3.7891452323746,0.000370665845178938,sample_9
gene_905,4.56653107149813,0.000715449582962234,sample_9
